	Item ID	Source	Agency	Rep	Supplier	Customer	Account	Net billed	Added	Billing Month
27	n1231991	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
28	n1270693	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Skynet	Tartarology	48941	$69.95 	2022-03-04	
29	n1291271	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Tapachula Ibidinae	56197	$25.50 	2022-02-06	
30	n1247061	Insecta	SQL Answers	Jonah J. Jameson	Mettle Tester	Baxterian Carapacho	568572191710-	$389.00 	2022-02-07	2022-08-15
31	n1206996	Insecta	Undertow Tech	Joey Bosa	Physics Portmanteau	Anguillula Araua Ishmael	69350B1M	$393.75 	2022-02-06	2022-07-31
32	n1263104	Antiochian Cocle	Undertow Tech	Joey Bosa	Archery	Wochua Mayo Ineri	3605402	$29.05 	2022-02-06	
33	n1245513	Insecta	SQL Answers	Jonah J. Jameson	2D Limit	Wodenism	039743635	$1,674.00 	2022-02-07	2022-07-01
34	n1212588	Insecta	Undertow Tech	Joey Bosa	Fluss	Graptolithina	P4540204R	$0.00 	2022-02-06	2022-07-26
35	n1290309	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$37.50 	2022-02-06	
36	n1270296	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Wood Join	Pulvinaria Idoism Hottentotese	05504120	$68.00 	2022-01-21	
37	n1263968	Antiochian Cocle	Undertow Tech	Joey Bosa	GhostGlass	William	073898	$79.50 	2022-02-06	
38	n1197622	Teucrian	Cloud Atlas	Steve Rogers	Mettle Tester	Atacamenian Otuquian Shebat Christopher	843675	$40.00 	2022-03-31	Aug
39	n1273302	Antiochian Cocle	Pursuit Partners	Dick Wolff	A Stationary	Maenidae Israel Skittagetan Iowan	117333079	$25.00 	2022-09-12	
40	n1244627	Insecta	SQL Answers	Jonah J. Jameson	Rainbow	Tenggerese Senusian Phantasiast	4115005-10C0 6T218175W780	$187.97 	2022-02-07	2022-08-01
41	n1291823	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Tapachula Ibidinae	56197	($5.76)	2022-02-06	
42	n1264539	Antiochian Cocle	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	294432	$169.16 	2022-02-06	
43	n1292735	Insecta	Treasure Planet	Sean Bean	PharoTek	Sabazianism Fife Cladodontidae Uzbak	622830832	$225.69 	2022-10-13	2022-07-01
44	n1290565	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$21.55 	2022-02-06	
45	n1232806	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Newmanite Helvetia Sulfasuxidine & Lernaeacea	G5-BMCQA-BLL	$908.52 	2022-02-07	2022-07-01
46	n1246755	Insecta	SQL Answers	Jonah J. Jameson	Youngfire	Eryon Notogaeic & Tritoness Procellaria Acrocomia Altaid	5-9014778-207	$479.20 	2022-02-07	2022-07-01
47	n1253598	Antiochian Cocle	The Weather Channel	Gary Fern	Perfect Square	360Insights	70O03730053A	$0.00 	2021-06-01	
48	n1252511	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Fluss	Ulophocinae Lutayo Inigo	4P2050R6528	$257.80 	2022-01-24	2022-07-09
49	n1234772	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
50	n1246458	Insecta	SQL Answers	Jonah J. Jameson	Countertop Comms	Sclerodermi Michael Crocodylus Langsdorffia	3241389	$503.84 	2022-02-07	2022-07-31
51	n1286068	Bdelloura	U2	Referral Plymouth	Latinate Cyrillica	Squalodontidae Stanley Archibald Tanoan Shepherdia	3713032	($60.00)	2021-07-09	
52	n1249957	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Prescription Tees	Frenchy Nepa Babelize Ottomanean Squatarola Cyclotella	4031532470	$0.50 	2022-05-09	2022-07-23
53	n1214845	Teucrian	Pursuit Partners	Dick Wolff	Rainbow	Sabbatian Hydrophyllaceae	2684111404870760	$49.99 	2022-10-10	Jul
54	n1225612	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
55	n1293128	Insecta	Treasure Planet	Sean Bean	Ear Throw	Anisoptera Bucconinae Calochortaceae	50434	$144.85 	2022-10-13	2022-07-21
56	n1232056	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
57	n1292297	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Wodenism	88091	$14.99 	2022-02-06	
58	n1251758	Insecta	Bermuda Triangle	Eleanor of Acquitaine	GhostGlass	Trichoptera Songoi Daedalist Himantopus	644093	$21.10 	2022-01-24	2022-08-01
59	n1287450	Dianil	General Coelecanth Nativity	San Pelegrino	NASA	Colombina Marc Psittacomorphae Immanuel	28 2P19J6C6 SLV	$748.99 	2022-02-01	
60	n1222464	Insecta	SQL Answers	Jonah J. Jameson	Perfect Square	Israeliteship Vindemiatrix Mizar Labyrinthodonta	6C77500720O	$24.00 	2022-03-07	2022-06-01
61	n1236010	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
62	n1278144	Byzantinize Tamaroa	Moccasin	Daniel LaRusso	Unlikely Story	Dadupanthi Cyclobothra Roccella Enchytraeidae	-0002577388	$213.00 	2021-04-05	
63	n1248314	Insecta	SQL Answers	Jonah J. Jameson	PackHunters	Sphacelariales Mithraist Lymnaea	052708104	$35.00 	2022-02-07	2022-08-01
64	n1235974	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
65	n1221972	Insecta	SQL Answers	Jonah J. Jameson	Perfect Square	Israeliteship Vindemiatrix Mizar Labyrinthodonta	6C77500720O	$24.00 	2022-03-07	2022-06-01
66	n1270730	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Martian Colony	Tagalo Porphyrianist Heliogabalize	22473	$44.50 	2022-01-21	
67	n1279642	Byzantinize Tamaroa	Moccasin	Referral Josh Groban	Scopal Modifier	Loxosoma Negrophilism	38172	$75.00 	2021-04-05	
68	n1248273	Insecta	SQL Answers	Jonah J. Jameson	Airborne Vegetables	Archaeoceti Mazateco Charicleia Lygeum	9460571	$550.00 	2022-10-10	2022-08-03
69	n1244005	Insecta	SQL Answers	Jonah J. Jameson	Rainbow	Lepralia Valerianoides	8630-N1 0T981-01110L7151	$549.00 	2022-02-07	2022-08-01
70	n1250730	Insecta	Bermuda Triangle	Eleanor of Acquitaine	GhostGlass	Chlorion	424337	$28.95 	2022-01-24	2022-08-01
71	n1201811	Insecta	Undertow Tech	Joey Bosa	PharoTek	Nanny Yale Sjouke	19384693	$0.11 	2022-02-06	2022-07-01
72	n1247244	Insecta	SQL Answers	Jonah J. Jameson	Mettle Tester	Baxterian Carapacho	69532-736816	$4.75 	2022-02-07	2022-08-15
73	n1252889	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Stable Eruv	Katharina Russophilism Lucile	278366496	$298.00 	2022-06-09	2022-07-01
74	n1249038	Insecta	Bermuda Triangle	Eleanor of Acquitaine	PharoTek	Chilopoda Fenestellidae Chilean Alvan Laramie	55120319	$167.26 	2022-03-07	2022-07-01
75	n1290156	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$58.71 	2022-02-06	
76	n1221340	Insecta	DVD Bounce	Charlemagne	Darwin	Nozi Heterosiphonales Holochoanoida Camelidae	07821701191760-	$0.33 	2022-01-15	2022-07-01
77	n1268683	Insecta	Spaghetti	Colonel Sanders	Garnet	Cocama Heteropidae Ichthyomorpha	197231	$38.06 	2021-07-13	2022-08-01
78	n1230625	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
79	n1217495	Teucrian	Pursuit Partners	Dick Wolff	OrderAxion	Constantinopolitan Ammonitoidea	96213	$220.00 	2022-09-12	Jul
80	n1284910	Bdelloura	U2	K2	Perfect Square	Lamiidae Hymenaic Livistona	40R5W83063	$1.53 	2020-09-24	
81	n1283635	Dianil	DVD Bounce	Charlemagne	Martian Colony	Werner Redemptine Rapaces Edwardeanism	70226	$14.99 	2022-01-18	
82	n1228658	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
83	n1252456	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Fluss	Ulophocinae Lutayo Inigo	0011696RP02	$1,990.00 	2022-01-24	2022-07-09
84	n1258282	Insecta	Terrier Networks	Elastigirl	PharoTek	Amidism Paduanism Sammy Caretta	87894566	$0.26 	2021-07-13	2022-07-01
85	n1192905	Aglaos	General Coelecanth Nativity	San Pelegrino	PharoTek	Scleroparei Beryx Cephalodiscida Olynthus Flagellariaceae	7B5AH-PHH-W9	$447.20 	2022-06-09	
86	n1258601	Insecta	Terrier Networks	Elastigirl	Genomicon	Apache Crenothrix Isomyaria (Ap)	5781124	$18.95 	2021-07-13	2022-07-01
87	n1243309	Insecta	SQL Answers	Jonah J. Jameson	Ear Throw	Swinburnian Israelitic Limulus	02-5998O16	$950.10 	2022-02-07	2022-07-21
88	n1250286	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Prescription Tees	Charles Ephemeroptera Caprimulgiformes	8361106305	$0.00 	2022-01-24	2022-08-27
89	n1201212	Insecta	Undertow Tech	Joey Bosa	Perfect Square	Quakerishly Harvardian	0070-513403C53O1	$18.25 	2022-02-06	2022-07-01
90	n1277002	Byzantinize Tamaroa	Moccasin	Daniel LaRusso	Perfect Square	Annulata Ribhus Cordaitales & Raphidodea	07060R132W	$13.39 	2021-04-05	
91	n1274969	Dianil	Pursuit Partners	Dick Wolff	Bloodmor	Lepismidae Montmorency Coprinae	591635	$0.70 	2022-09-12	7/16/2022 12:00:00 AM
92	n1284516	Insecta	Cloud Atlas	Steve Rogers	PharoTek	Oliver Icacinaceae	88334919	$756.00 	2020-10-05	2022-07-01
93	n1213211	Teucrian	Pursuit Partners	Dick Wolff	SW Walker	Wezen Wessexman	8037153001	$478.37 	2022-09-12	Aug
94	n1211871	Insecta	Undertow Tech	Joey Bosa	Fluss	Graptolithina	223557PR4	$0.00 	2022-02-06	2022-07-26
95	n1216207	Teucrian	Pursuit Partners	Dick Wolff	Mettle Tester	Barbarea Williamsonia	913978	$33.51 	2022-09-12	Aug
96	n1216921	Teucrian	Pursuit Partners	Dick Wolff	Mettle Tester	Wernerian Olax Broussonetia Galenical	118814	$0.14 	2022-09-12	Aug
97	n1279145	Byzantinize Tamaroa	Moccasin	Daniel LaRusso	Prescription Tees	Carborundum Acmaea Torgot	70624	$25.00 	2021-04-05	
98	n1265462	Antiochian Cocle	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	441943	$18.00 	2022-02-06	
99	n1199890	Insecta	Undertow Tech	Joey Bosa	Perfect Square	Rhinopteridae Sodomite Baloskion	00100424O3C7	$79.00 	2022-02-06	2022-07-01
100	n1271522	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Martian Colony	Xenophora Pincian Leonora	47124	$148.00 	2022-10-05	
101	n1215185	Teucrian	Pursuit Partners	Dick Wolff	The Undead	Aetian	-20O40DR0550	$1,999.00 	2022-09-12	Aug
102	n1271841	Antiochian Cocle	Bermuda Triangle	Eleanor of Acquitaine	GhostGlass	Anabaptistically	743841	$73.82 	2022-03-04	
103	n1202473	Insecta	Undertow Tech	Joey Bosa	PharoTek	Nanny Yale Sjouke	19384693	$0.11 	2022-02-06	2022-07-01
104	n1234558	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
105	n1260818	Antiochian Cocle	General Coelecanth Nativity	San Pelegrino	Redundant Accessories	Banda	792540S	$850.00 	2021-11-05	
106	n1280338	Thesmophoric Samnani	LaTeX	Michael Scott	PharoTek	Singspiel Cajun Anneslia	8823-G00252C5	$1,102.40 	2022-01-21	
107	n1288694	Insecta	Galaxy	Nanny Ogden	PharoTek	Cocos Fathometer & Forsythia Caledonia Islamization	60788426	$15.95 	2022-10-12	2022-07-01
108	n1240792	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Julianto Kyrie Alaster Carniolan Iglulirmiut	21847304	$0.25 	2022-02-07	2022-07-01
109	n1284464	Insecta	Cloud Atlas	Steve Rogers	PharoTek	Integropalliata Petalostemon Iriartea	MKF-QG-NLRA5	$155.20 	2020-10-05	2022-07-01
110	n1241256	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Julianto Kyrie Alaster Carniolan Iglulirmiut	21847304	$0.15 	2022-02-07	2022-07-01
111	n1269187	Antiochian Cocle	Paperclip Maximizer	Peppermint Patty	2D Limit	Abdiel Uaupe Lorrainer	7643120182	$28.00 	2022-02-14	
112	n1290414	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$38.74 	2022-02-06	
113	n1198471	Tappertitian	LaTeX	Michael Scott	Fluss	Pseudococcus Tingitidae Wagweno	0R235P720	$25.03 	2022-01-24	
114	n1250941	Insecta	Bermuda Triangle	Eleanor of Acquitaine	GhostGlass	Hamidian	374381	$28.95 	2022-01-24	2022-08-01
115	n1279409	Byzantinize Tamaroa	Moccasin	Daniel LaRusso	2D Limit	Campanulariae Bobadilian Bankalachi	2035956221	$190.31 	2021-06-10	
116	n1269870	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Ear Throw	Schopenhauerian Cidaroida Oniscoidea Spirosoma	90181675	$177.90 	2022-01-21	
117	n1232158	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
118	n1248236	Insecta	SQL Answers	Jonah J. Jameson	Just	Baxterian Carapacho	20333910	$125.98 	2022-06-09	2022-07-01
119	n1273256	Antiochian Cocle	Pursuit Partners	Dick Wolff	A Stationary	Maenidae Israel Skittagetan Iowan	117333079	$25.00 	2022-09-12	
120	n1271726	Antiochian Cocle	Bermuda Triangle	Eleanor of Acquitaine	Infrastructural Necessity	Elohistic Niobean Bardulph	35904	$122.50 	2022-01-24	
121	n1249042	Insecta	Bermuda Triangle	Eleanor of Acquitaine	PharoTek	174 Plesianthropus Grundified Chaucerian	-A3-HJXD35PG	$869.08 	2022-05-09	2022-07-01
122	n1281851	Dianil	PanGalactic GargleBlasters	Ricky Gervaise	JPG	Narciss Redunca Sapotaceae Idaic	27708162	$1.79 	2022-05-13	
123	n1212532	Insecta	Undertow Tech	Joey Bosa	Fluss	Graptolithina	9P2603R39	$0.00 	2022-02-06	2022-07-26
124	n1274187	Aglaos	Pursuit Partners	Dick Wolff	Bloodmor	Root -- Hutchinsonian Ubiquitism Chorioptes	724976	$0.35 	2022-09-12	
125	n1253228	Antiochian Cocle	The Weather Channel	Gary Fern	Perfect Square	Lucinacea Chiococca	304AO6033003	$15.45 	2021-06-01	
126	n1280485	Thesmophoric Samnani	LaTeX	Michael Scott	Physics Portmanteau	Roderic Carlylian Crocodylidae	M028C301	$86.87 	2022-01-21	7/31/2022 12:00:00 AM
127	n1254449	Insecta	Terrier Networks	Elastigirl	Archery	Sirione Scolopendridae Cordia Levana	560C40B	$55.40 	2021-07-13	2022-07-15
128	n1293726	Insecta	Treasure Planet	Sean Bean	Allefluss	Syngnathus Capernaitic	612076	$60.45 	2022-10-13	2022-08-14
129	n1230310	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
130	n1224540	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
131	n1226978	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
132	n1255471	Insecta	Terrier Networks	Elastigirl	PharoTek	Algores Frenchman Coprosma Uropsilus	47833927	$0.14 	2021-07-13	2022-07-01
133	n1200964	Insecta	Undertow Tech	Joey Bosa	Perfect Square	Quakerishly Harvardian	00007070O44C173-	$18.25 	2022-02-06	2022-07-01
134	n1244135	Insecta	SQL Answers	Jonah J. Jameson	Rainbow	Ossianesque Izchak Tyrolean	2-L82001 435003087-131T51N98082	$71.95 	2022-02-07	2022-08-01
135	n1193545	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Archery	Baianism Leisten	0A8B025	$41.00 	2022-01-21	
136	n1287368	Beni Osirify	Paperclip Maximizer	Peppermint Patty	2D Limit	Heterodonta Icosteus	728262166	$2,711.97 	2022-01-21	
137	n1190859	Aglaos	Emphatic Comms	David Guerra	PharoTek	Alectoris Litorina Sadie	S000T9614IA-4L	$0.57 	2021-04-12	
138	n1246214	Insecta	SQL Answers	Jonah J. Jameson	Countertop Comms	Stratiotes Urginea Irvingite	6544649	$2,359.45 	2022-06-09	2022-07-31
139	n1201543	Insecta	Undertow Tech	Joey Bosa	PharoTek	Nanny Yale Sjouke	19384693	$0.11 	2022-02-06	2022-07-01
140	n1252794	Insecta	Bermuda Triangle	Eleanor of Acquitaine	Darwin	Rupert Osnaburg Felis	-11146100005162	$109.78 	2022-01-24	2022-07-01
141	n1246157	Insecta	SQL Answers	Jonah J. Jameson	Latinate Cyrillica	Axonopus Utopian Pleurobrachia	8105116	$2,064.20 	2022-02-07	2022-07-01
142	n1267507	Insecta	Spaghetti	Colonel Sanders	Garnet	Cocama Heteropidae Ichthyomorpha	197231	$40.06 	2021-07-13	2022-08-01
143	n1240187	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Julianto Kyrie Alaster Carniolan Iglulirmiut	21847304	$0.15 	2022-02-07	2022-07-01
144	n1190981	Aglaos	Emphatic Comms	David Guerra	PharoTek	Wernerian Enajim	4LS08T75A64I3-	$0.15 	2021-04-12	
145	n1236198	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
146	n1197320	Teucrian	Cloud Atlas	Steve Rogers	Countertop Comms	Whilkut Suecism Chamaedaphne	3883179	$446.32 	2020-12-06	Aug
147	n1290092	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Mosaical Tang	73986	$37.50 	2022-02-06	
148	n1282045	Dianil	PanGalactic GargleBlasters	Ricky Gervaise	JPG	Narciss Redunca Sapotaceae Idaic	27708162	$1.79 	2022-05-13	
149	n1289138	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Crypteroniaceae Cryptocleidus	84042	$30.41 	2022-02-06	
150	n1203199	Insecta	Undertow Tech	Joey Bosa	PharoTek	Nanny Yale Sjouke	19384693	$0.11 	2022-02-06	2022-07-01
151	n1195902	Dianil	Water Cycle	J.D. Salinger	Meditative Horse	Fulica Lutheranize	72L3706781561-17324--1A17	$11,430.86 	2020-10-07	Aug-22AUG-2022
152	n1212653	Insecta	Undertow Tech	Joey Bosa	Fluss	Randallite Caph	67P0R4100	$443.33 	2022-02-06	2022-07-09
153	n1209984	Insecta	Undertow Tech	Joey Bosa	GhostGlass	Vespidae Ottomanize Apotactic Incan	214037	$25.00 	2022-02-06	2022-08-01
154	n1226183	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
155	n1237399	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
156	n1226555	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	2022-07-01
157	n1237658	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
158	n1268932	Antiochian Cocle	Paperclip Maximizer	Peppermint Patty	Rainbow	Himyaritic Wesleyism Iphis	2749183949206328	$119.98 	2022-02-14	
159	n1281366	Dianil	PanGalactic GargleBlasters	Ricky Gervaise	JPG	Narciss Redunca Sapotaceae Idaic	27708162	$1.79 	2022-05-13	
160	n1258632	Insecta	Terrier Networks	Elastigirl	Genomicon	Apache Crenothrix Isomyaria (Ap)	2945231	$27.55 	2021-07-13	2022-07-01
161	n1291679	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Tapachula Ibidinae	56197	$4.75 	2022-02-06	
162	n1270182	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	StickOut	Timalia Coleoptera & Ritchey Liguliflorae	u2Ia004jP00I0n2	$10.94 	2022-01-21	
163	n1217879	Teucrian	Pursuit Partners	Dick Wolff	Martian Colony	Masarididae	48198	$3.99 	2022-09-12	Aug
164	n1259023	Insecta	Terrier Networks	Elastigirl	Wood Join	Sirione Scolopendridae Cordia Levana	290450063	$10.27 	2021-07-13	2022-08-01
165	n1239575	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Hispanize Irelander	18589052	$380.70 	2022-02-07	2022-07-01
166	n1284746	Insecta	Cloud Atlas	Steve Rogers	Impetus	Izzy Cycadofilices	09182304-9000	$2,500.00 	2021-01-04	2022-07-01
167	n1233414	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$822.00 	2022-02-07	2022-07-01
168	n1276584	Byzantinize Tamaroa	DotEaters	The Wright Brothers	Physics Portmanteau	Platanaceae Orleanist Lezghian	2CM02808	$316.24 	2020-09-29	
169	n1288984	Xenophonic	SQL Answers	Jonah J. Jameson	Mettle Tester	Tapachula Ibidinae	56197	$0.00 	2022-02-06	
170	n1271196	Tarahumar - Siphonariidae & Elephantopus	LaTeX	Michael Scott	Martian Colony	Tartarology	11401	$14.99 	2022-01-21	
171	n1199100	Dianil	Undertow Tech	Joey Bosa	Mettle Tester	Zealander Slavism Laplacian Indicatorinae	985572	$30.53 	2022-03-10	09-08-22
172	n1255962	Insecta	Terrier Networks	Elastigirl	PharoTek	Algores Frenchman Coprosma Uropsilus	47833927	$0.14 	2021-07-13	2022-07-01
173	n1258850	Insecta	Terrier Networks	Elastigirl	Wood Join	Sirione Scolopendridae Cordia Levana	301067002	$25.00 	2021-07-13	2022-08-01
174	n1239261	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
175	n1256973	Insecta	Terrier Networks	Elastigirl	PharoTek	Amidism Paduanism Sammy Caretta	C90005148	$474.61 	2021-07-13	2022-07-01
176	n1277644	Byzantinize Tamaroa	Moccasin	Daniel LaRusso	Perfect Square	Warri Forcipulata	R7403W8500	$3.02 	2021-04-05	
177	n1237358	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Desmanthus Sericocarpus & Capricorn	73883187	$0.15 	2022-02-07	2022-07-01
